time,close,high,low,open,volumefrom,volumeto,Date,Time,volume,marketcap,price_delta
2023-02-20 19:00:00,24875.7,24883.86,24812.16,24821.45,1107.44,27521316.63,2023-02-20,19:00:00,27520209.189999998,684612016092.891,54.25
2023-02-20 20:00:00,24807.59,24881.25,24775.65,24875.7,1549.92,38474927.28,2023-02-20,20:00:00,38473377.36,954470221242.0552,-68.11000000000058
2023-02-20 21:00:00,24771.84,24822.99,24763.74,24807.59,893.58,22150370.12,2023-02-20,21:00:00,22149476.540000003,548705424553.42084,-35.75
2023-02-20 22:00:00,24702.97,24779.13,24682.28,24771.84,1376.19,34021275.17,2023-02-20,22:00:00,34019898.980000004,840426539886.255,-68.86999999999898
2023-02-20 23:00:00,24838.09,24840.24,24700.87,24702.97,1093.33,27098344.78,2023-02-20,23:00:00,27097251.450000003,673071126496.6703,135.11999999999898
2023-02-21 00:00:00,24860.46,24932.25,24788.1,24838.09,1494.27,37146701.14,2023-02-21,00:00:00,37145206.87,923484077822.9244,22.36999999999898
2023-02-21 01:00:00,24869.92,24929.09,24807.31,24860.46,1443.45,35881261.11,2023-02-21,01:00:00,35879817.66,892364093304.8112,9.459999999999127
2023-02-21 02:00:00,24910.94,25092.9,24862.13,24869.92,3047.57,76147891.15,2023-02-21,02:00:00,76144843.58000001,1896915547564.1812,41.02000000000044
2023-02-21 03:00:00,24925.08,25009.23,24857.95,24910.94,2031.97,50673681.94,2023-02-21,03:00:00,50671649.97,1263045576249.0552,14.140000000003056
2023-02-21 04:00:00,24900.25,24943.2,24859.3,24925.08,947.77,23596283.17,2023-02-21,04:00:00,23595335.400000002,587553350003.7926,-24.830000000001746
2023-02-21 05:00:00,24950.19,24956.71,24878.98,24900.25,838.45,20890509.01,2023-02-21,05:00:00,20889670.560000002,521222168996.2119,49.93999999999869
2023-02-21 06:00:00,25029.15,25037.1,24930.95,24950.19,1110.86,27744623.67,2023-02-21,06:00:00,27743512.810000002,694424347529.9806,78.96000000000276
2023-02-21 07:00:00,24999.67,25047.45,24947.34,25029.15,1495.44,37383645.5,2023-02-21,07:00:00,37382150.06,934578800896.985,-29.4800000000032
2023-02-21 08:00:00,24689.97,25216.35,24650.29,24999.67,7982.13,199103578.19,2023-02-21,08:00:00,199095596.06,4915861372403.755,-309.6999999999971
2023-02-21 09:00:00,24807.4,24832.13,24590.72,24689.97,4130.39,102107644.87,2023-02-21,09:00:00,102103514.48,2533025189348.038,117.43000000000029
2023-02-21 10:00:00,24703.66,24807.62,24685.63,24807.4,1647.54,40755879.03,2023-02-21,10:00:00,40754231.49,1006819378558.2499,-103.7400000000016
2023-02-21 11:00:00,24574.15,24750.03,24570.36,24703.66,2644.45,65230776.31,2023-02-21,11:00:00,65228131.86,1602990881658.3867,-129.5099999999984
2023-02-21 12:00:00,24638.34,24660.34,24513.54,24574.15,2951.84,72577611.02,2023-02-21,12:00:00,72574659.17999999,1788191856698.5066,64.18999999999869
2023-02-21 13:00:00,24566.09,24694.58,24529.13,24638.34,2495.82,61448431.01,2023-02-21,13:00:00,61445935.19,1509547686550.451,-72.25
2023-02-21 14:00:00,24681.49,24773.75,24555.05,24566.09,3272.77,80762588.49,2023-02-21,14:00:00,80759315.72,1993341020190.05,115.40000000000146
2023-02-21 15:00:00,24560.73,24716.72,24435.73,24681.49,5163.58,126808675.46,2023-02-21,15:00:00,126803511.88,3114513639630.6855,-120.76000000000204
2023-02-21 16:00:00,24406.57,24583.45,24297.02,24560.73,5823.5,142132247.35,2023-02-21,16:00:00,142126423.85,3468960644205.0894,-154.15999999999985
2023-02-21 17:00:00,24648.15,24650.85,24382.58,24406.57,3130.88,76656972.24,2023-02-21,17:00:00,76653841.36,1889452550317.356,241.58000000000175
2023-02-21 18:00:00,24693.33,24745.51,24574.15,24648.15,3898.89,96149541.08,2023-02-21,18:00:00,96145642.19,2374252347236.9966,45.18000000000029
2023-02-21 19:00:00,24602.99,24694.44,24566.56,24693.33,2455.67,60491142.57,2023-02-21,19:00:00,60488686.9,1488262975738.2844,-90.34000000000015
2023-02-21 20:00:00,24465.16,24633.78,24440.64,24602.99,2341.33,57391603.4,2023-02-21,20:00:00,57389262.07,1404094759837.544,-137.83000000000175
2023-02-21 21:00:00,24192.86,24532.25,24168.6,24465.16,4727.23,114815962.66,2023-02-21,21:00:00,114811235.42999999,2777726510398.6074,-272.2999999999993
2023-02-21 22:00:00,24387.45,24423.13,24173.88,24192.86,2315.56,56277097.38,2023-02-21,22:00:00,56274781.82,1372454898499.881,194.59000000000015
2023-02-21 23:00:00,24450.5,24450.96,24348.65,24387.45,1546.25,37713719.38,2023-02-21,23:00:00,37712173.13,922119295700.6901,63.04999999999927
2023-02-22 00:00:00,24413.52,24471.79,24278.34,24450.5,2268.61,55333000.52,2023-02-22,00:00:00,55330731.910000004,1350873314855.0305,-36.97999999999956
2023-02-22 01:00:00,24188.51,24433.2,24151.8,24413.52,3338.3,81110558.39,2023-02-22,01:00:00,81107220.09,1961943552722.0989,-225.01000000000204
2023-02-22 02:00:00,24171.23,24193.53,23886.5,24188.51,5594.46,134611099.84,2023-02-22,02:00:00,134605505.38,3253715854785.603,-17.279999999998836
2023-02-22 03:00:00,24209.71,24264.98,24137.84,24171.23,1912.37,46288343.35,2023-02-22,03:00:00,46286430.980000004,1120627368883.9285,38.47999999999956
2023-02-22 04:00:00,24162.26,24222.57,24040.02,24209.71,2194.36,52936404.83,2023-02-22,04:00:00,52934210.47,1279063176967.7156,-47.45000000000073
2023-02-22 05:00:00,24103.92,24168.7,24016.44,24162.26,2229.78,53671852.79,2023-02-22,05:00:00,53669623.01,1293702045901.9368,-58.340000000000146
2023-02-22 06:00:00,23952.89,24127.55,23940.55,24103.92,2663.2,63945598.99,2023-02-22,06:00:00,63942935.79,1531681898591.581,-151.02999999999884
2023-02-22 07:00:00,24067.29,24093.85,23942.63,23952.89,2325.45,55881066.03,2023-02-22,07:00:00,55878740.58,1344905821653.1587,114.40000000000146
2023-02-22 08:00:00,23971.64,24069.11,23878.9,24067.29,2690.68,64477106.05,2023-02-22,08:00:00,64474415.37,1545621974472.4219,-95.65000000000146
2023-02-22 09:00:00,24108.76,24161.2,23953.76,23971.64,2739.07,65878203.34,2023-02-22,09:00:00,65875464.27,1588241793555.2583,137.11999999999898
2023-02-22 10:00:00,24185.37,24198.37,24092.58,24108.76,1136.46,27438040.53,2023-02-22,10:00:00,27436904.07,663599162293.0461,76.61000000000058
2023-02-22 11:00:00,24163.13,24202.74,24055.49,24185.37,2240.45,54049004.83,2023-02-22,11:00:00,54046764.379999995,1305993130077.918,-22.239999999997963
2023-02-22 12:00:00,24136.35,24229.2,24101.51,24163.13,1503.6,36352395.21,2023-02-22,12:00:00,36350891.61,877414134126.8834,-26.780000000002474
2023-02-22 13:00:00,24115.2,24143.02,23984.94,24136.35,2215.96,53351314.62,2023-02-22,13:00:00,53349098.66,1286577622324.2239,-21.149999999997817
2023-02-22 14:00:00,23940.04,24121.18,23937.46,24115.2,3552.07,85299212.28,2023-02-22,14:00:00,85295660.21000001,2042066553951.6914,-175.15999999999985
2023-02-22 15:00:00,23729.27,23995.08,23658.45,23940.04,8010.07,190563497.51,2023-02-22,15:00:00,190555487.44,4521932684559.117,-210.77000000000044
2023-02-22 16:00:00,23639.25,23763.17,23597.76,23729.27,3996.31,94623734.06,2023-02-22,16:00:00,94619737.75,2236834105377.855,-90.02000000000044
2023-02-22 17:00:00,23746.56,23775.56,23601.67,23639.25,2283.84,54104943.29,2023-02-22,17:00:00,54102659.449999996,1284806282132.5825,107.31000000000131
