time,close,high,low,open,volumefrom,volumeto,coin_name,coin_symbol,market_cap,volume
2022-03-01 22:00:00,44179.19,44224.42,43810.26,43870.9,745.42,32819655.77,Bitcoin,BTC,1449945807997.4263,32818910.349999998
2022-03-01 23:00:00,44428.47,44516.52,44099.59,44179.19,1391.79,61663309.18,Bitcoin,BTC,2739606482004.3545,61661917.39
2022-03-02 22:00:00,44111.34,44298.74,43931.7,44073.06,775.88,34239031.34,Bitcoin,BTC,1510329552709.3958,34238255.46
2022-03-02 23:00:00,43935.37,44204.46,43886.38,44111.34,475.85,20955632.85,Bitcoin,BTC,920693482848.9047,20955157.0
2022-03-03 22:00:00,42517.14,42698.66,42114.13,42122.8,1383.09,58771475.27,Bitcoin,BTC,2498795042061.128,58770092.18
2022-03-03 23:00:00,42474.37,42611.14,42420.64,42517.14,591.19,25127360.66,Bitcoin,BTC,1067268813796.2843,25126769.47
2022-03-04 22:00:00,39035.67,39457.07,38621.24,39395.86,2176.63,84771385.89,Bitcoin,BTC,3309107845044.6963,84769209.26
2022-03-04 23:00:00,39154.4,39248.16,38897.56,39035.67,1132.79,44279545.01,Bitcoin,BTC,1733739017139.544,44278412.22
2022-03-05 22:00:00,39466.3,39479.1,39290.98,39372.15,964.57,37953948.46,Bitcoin,BTC,1497901916106.8982,37952983.89
2022-03-05 23:00:00,39407.02,39468.3,39337.11,39466.3,387.57,15265152.25,Bitcoin,BTC,601554160018.7949,15264764.68
2022-03-06 22:00:00,38972.92,39199.41,38926.28,39010.04,571.7,22340302.23,Bitcoin,BTC,870666811585.6116,22339730.53
2022-03-06 23:00:00,38428.92,39017.25,38301.43,38972.92,2167.61,83328802.82,Bitcoin,BTC,3202235897265.554,83326635.21
2022-03-07 22:00:00,38212.99,38466.5,37805.19,37849.04,1649.05,62877473.07,Bitcoin,BTC,2402736249649.179,62875824.02
2022-03-07 23:00:00,38030.63,38480.77,37913.31,38212.99,1416.39,54103881.55,Bitcoin,BTC,2057604700791.8762,54102465.16
2022-03-08 22:00:00,38594.87,38638.77,38505.9,38518.09,338.18,13046638.12,Bitcoin,BTC,503533302178.4444,13046299.94
2022-03-08 23:00:00,38748.52,38788.86,38562.73,38594.87,538.61,20847363.78,Bitcoin,BTC,807804492376.6056,20846825.17
2022-03-09 22:00:00,41907.6,42071.55,41816.6,41890.89,920.74,38564573.66,Bitcoin,BTC,1616148727113.8157,38563652.919999994
2022-03-09 23:00:00,41962.85,42122.09,41839.41,41907.6,646.12,27129967.88,Bitcoin,BTC,1138450772653.2578,27129321.759999998
2022-03-10 22:00:00,39462.69,39481.27,39173.58,39342.29,588.38,23123557.08,Bitcoin,BTC,912517764745.3452,23122968.7
2022-03-10 23:00:00,39443.42,39595.57,39416.93,39462.69,631.35,24938291.88,Bitcoin,BTC,983651520705.4296,24937660.529999997
2022-03-11 22:00:00,38916.77,39103.99,38856.55,38856.55,638.53,24875226.06,Bitcoin,BTC,968063451275.0261,24874587.529999997
2022-03-11 23:00:00,38741.03,38940.17,38741.02,38916.77,542.5,21068999.64,Bitcoin,BTC,816234747123.2292,21068457.14
2022-03-12 22:00:00,39111.04,39168.73,39041.37,39095.24,236.08,9230039.56,Bitcoin,BTC,360996446432.74243,9229803.48
2022-03-12 23:00:00,38805.53,39166.06,38803.62,39111.04,764.38,29762852.92,Bitcoin,BTC,1154963281872.6477,29762088.540000003
2022-03-13 22:00:00,37915.22,38816.02,37820.92,38739.43,3402.69,129787532.12,Bitcoin,BTC,4920922833586.867,129784129.43
2022-03-13 23:00:00,37796.31,37915.22,37633.11,37915.22,1793.14,67740884.14,Bitcoin,BTC,2560355456629.5234,67739091.0
2022-03-14 22:00:00,39491.34,39794.47,38721.63,38739.24,3821.07,150309270.06,Bitcoin,BTC,5935914489091.28,150305448.99
2022-03-14 23:00:00,39696.28,39802.89,39450.35,39491.34,1578.37,62520327.37,Bitcoin,BTC,2481824420971.1836,62518749.0
2022-03-15 22:00:00,39499.16,39859.45,39444.27,39672.25,1086.38,43058448.99,Bitcoin,BTC,1700772566007.8486,43057362.61
2022-03-15 23:00:00,39314.86,39566.9,39311.38,39499.16,782.12,30801401.33,Bitcoin,BTC,1210952781092.7637,30800619.209999997
2022-03-16 22:00:00,40912.49,41221.83,40902.24,41123.68,901.77,37040126.04,Bitcoin,BTC,1515403786210.2395,37039224.269999996
2022-03-16 23:00:00,41133.64,41190.54,40811.23,40912.49,1201.58,49254693.65,Bitcoin,BTC,2026024836909.386,49253492.07
2022-03-17 22:00:00,41009.55,41047.58,40898.99,41010.06,960.23,39339041.06,Bitcoin,BTC,1613276371302.1233,39338080.830000006
